,Ave_Entropy,Start_Time,End_Time,Duration
96,5.9424643368462595,122.9749,123.8411,0.8661999999999921
97,4.136432997231841,124.0077,125.5626,1.5549000000000035
98,5.679600848655081,125.7625,129.0609,3.298400000000001
99,5.413287324041495,129.3607,130.4047,1.0439999999999827
100,6.067417440283413,130.8267,131.7041,0.8774000000000228
101,5.552501704066168,131.9151,134.1696,2.2545000000000073
102,3.345899808604266,134.4028,135.2246,0.8217999999999961
103,5.343312591228016,135.3801,137.8012,2.4210999999999956
104,5.5555058730503015,138.2232,140.3111,2.087900000000019
105,5.838978800111497,140.4666,141.0552,0.5886000000000138
106,5.549698917743496,141.5327,144.5869,3.0542000000000087
107,5.762418211107305,144.7757,147.5854,2.8096999999999923
108,3.1561167505683367,147.7409,149.329,1.5880999999999972
109,4.824333651548603,149.4845,151.3281,1.8436000000000092
